,Sentence,Emotion
524,노란 건 아닌데 더러워서,혐오
525,안 그래도 말해 놨다 청소해 달라고,혐오
526,더러워 죽겠네 크지 않아,혐오
527,어떡하냐 저거 더러워 죽겠다 그대로 있어,혐오
528,"층으로 가야겠다 놀라긴\
 빨리 가자",혐오
529,저거 보고 물도 못 마시겠어 입맛 다 떨어졌어,혐오
530,하려고 일단 회사 걸리는 벌릴 수 있도록 다시 노력할 거야,중립
531,관리하시는 분께 말씀 드리고 다른 층으로 가자,혐오
532,너무 더러워서,혐오
533,괜찮아 좀 많이 놀랐지 지금은 좀 어때,놀람
534,주의를 줬어 그런데 똑같아,분노
535,나는 괜찮아 이나마 그나마 다행이야,중립
536,많이 넘어지긴 했는데 난 괜찮고 옆에 있는 친구는 발목을 좀 다 쳤어,슬픔
537,고마워 다행히 다치진 않아서 정말 다행이야,기쁨
538,"너무 걱정 안 해도 돼 나는 괜찮아\
 별로 아픈 것도 없고 그냥 좀 놀란 것 뿐이야\
 너부터 챙겨",놀람
539,한지 얼마나 됐다고 회사에서 연락이 또 왔어 또,분노
540,고맙다 많이 위로가 됐어 고마워,기쁨
541,다들 많이 상심이 크시겠어요여,슬픔
542,지금 혼자서 밖에 걸어 다니고 있지,슬픔
543,아직 말씀 못 드렸어,중립
544,밥맛이 없어서 안 먹으려고,슬픔
545,야 야 화장실 가지 마 화장실에 누가 토 있어,혐오
546,세면대랑 바닥이랑 난리 났어 지금,혐오
547,놀랐다 기보다는 기분이 되게 안 좋다 속이 안 좋고,놀람
548,물 말고 주스 마시려고,중립
549,나 말고 사람들이 엄청 많이 봤으니까 아마 알고 계실 거야,중립
550,어제 저녁에 장난 아니었어,놀람
551,아직 지진이라고 말도 안 했는데 어떻게 알았어 지진이 진짜 신세계 왔다니까,공포
552,놀란 거 빼고는 몸은 안 다쳤어,놀람
553,친구 한 명이 다리를 조금 나아졌어,슬픔
554,나 룸메이트랑 싸웠어,분노
555,계속 거실을 안 치워 내가 혼자 다 하고 있어,분노
556,화내 봤는데 그냥 내가 개념이 없는 거 같아,분노
557,이게 뭐 다니고 싶어서 다니는 거니 돈주니까 다니는 거지,슬픔
558,응 어차피 이번 달까지만 사는 걸로 예약되어 있어서 조금만 참으면 돼,분노
559,갈 만한 스틱 되어 있지 그러지 일을 너무 많이 시켜서 자기계발 할 시간이 없어,슬픔
560,말해 봐야 소용 없어,혐오
561,고생이지 한 30분 기다린 거 같아,혐오
562,아니면 벌써 왔죠 기대도 안 합니다,혐오
563,네 진실하게 듣지를 않아,혐오
564,다른데 또 준비해야지,슬픔
565,알고 계셔 그런데 괜찮대,중립
566,밥 먹었는데 이제 먹으려고 해,중립
567,안 그래도 쉴려고,중립
568,있는데 그것도 눈치 보이네,슬픔
569,부족 이니까 내 잘못이 맞지,슬픔
570,남자친구가 헤어지자고 하더라,슬픔
571,기획안 또 까였어,슬픔
572,두 달이나 됐는데 아직도 마음이 아파,슬픔
573,맞추고 청소를 너무 말 안 하는 거야,혐오
574,저녁 고쳐지지가 않아,혐오
575,안 그래도 그것 때문에 걱정이야,공포
576,장례는 치뤄 지난 왔어 그냥 좋은 곳에 묻어 줬어,슬픔
577,나 면접도 떨어졌어,슬픔
578,고마워 덕분에 위로가 되네,중립
579,가로 시켜 갖고 있어,슬픔
580,이번이 마지막이라고 생각했는데 또 준비 해야겠지,슬픔
581,잘하는게 없나 봐,슬픔
582,받았어 그럼 시간도 없다,슬픔
583,어제도 밤샜는데 오늘도 일찍 가긴 글렀어,슬픔
584,이제 출발한대,중립
585,응 자주 그래,분노
586,해 봤는데 또 시작하네,중립
587,세상을 떠나 써,슬픔
588,그래도 회복하면서 좋아진 거 같았는데 결국 갔네,슬픔
589,생명에는 지장이 없어,중립
590,아직 이제 진행해야지,중립
591,고마워 좋은 곳으로 갔으면 좋겠다,슬픔
592,퇴근한지 얼마나 됐다고 회사에서 또 연락 왔어,분노
593,그냥 참고 다녀야지,분노
594,동기랑 이야기 하고 있어,중립
595,저녁에 진짜 무서웠어,공포
596,지진이 있었잖아,공포
597,다들 무서웠는데 지금은 괜찮아졌어,중립
598,다친 데는 없어,중립
599,어제 또 다쳤어,분노
600,계단에서 넘어져 때,슬픔
601,회사에서 또 전화 왔어,분노
602,옮겨야 하나 고민이야,슬픔
603,내가 너한테 이렇게 얘기 안 하지,슬픔
604,알려 줘서 고마워,중립
605,진짜 고맙다,슬픔
606,누가 안 추웠어,혐오
607,그런데 똑같아,분노
608,또 떨어졌어,슬픔
609,지금 나는 집에 가는 중이야,슬픔
610,노력했는데 왜 자꾸 결과가 이럴까 나 너무 속상해,슬픔
611,처음에 친구를 지내다가 3년간 잘 지냈었는데 갑자기 오랫동안 사귀었던는지 갑자기 싸우면서 헤어지게 됐어,슬픔
612,"3년 동안 사귀고 헤어진지 얼마 안 됐어\
 그 친구한테 다른 여자친구가 생긴 거 같아",슬픔
613,냅두기 되면 다시 지저분해지는 거야 그래서 너무 나만 하니까 화가 나고 지저분 하니까 화가 나서 싫어,분노
614,난 할 말도 없고 이제 무슨 말을 해야 할까,슬픔
615,맨날 안 좋은 소식만 전해 드리면 속상할 것 같아서 이번에는 말씀 못 드렸어,슬픔
616,미정이가 진짜 더러워 청소를 진짜 하나도 안 해,분노
617,말은 해봤는데 소용이 없어 그냥 내 속만 상하더라도,중립
618,원래 고등학교 같은 동창이지 근데 이럴 줄 알았냐고 짜 심각해,중립
619,안 그래도 진짜 딱 한 달만 더 살아 보고 안되겠다 싶으면 그냥 따로 살자고 하려고,중립
620,"아니 밥맛도 없고\
 그냥 술만 당긴다",중립
621,응 가족끼리 간단하게 하기로 했어 조용히 보내 주려고,슬픔
622,고마워 좋은 데로 꼭 갈 거야,중립
623,약속이 있어서 친구 기다리고 있는데 친구가 아직도 안 오네,슬픔
624,1시간 기다렸는데 아직도 안 와,슬픔
625,한 100번은 해 봤을 걸 연락이 안 돼,중립
626,고등학교 때부터 맨날 이래 지겹다,중립
627,말 정도가 아니라 맨날 싸우지 그래도 안 돼,중립
628,우리 아빠 어제 또 다쳤어,중립
629,놀랬지 술 먹고 또 넘어졌어 지금 뭐 치료받고 있는 중이죠,중립
630,생명은 멀쩡 하셔,중립
631,"술은 거의 맨날 먹는 거 같아 근데\
 가족 말은 전혀 안 드셔",중립
632,엄청 하지 맨 잔소리하고 부탁하고 근데 안 돼,슬픔
633,퇴근한지 얼마나 됐다고 또 전화가 왔어 회사에서,중립
634,마음 같아선 진짜 그만두고 싶어 진짜 힘들다,중립
635,뭐 동기들은 있는데 다들 바쁘니까,중립
636,에고 진짜 고맙다 말만 들어도 힘이 난다,중립
637,어제저녁에 진짜 무서웠어,슬픔
638,"응 어제 식당에서 밥을 먹는데 지진이 났거든\
 나는 다치진 않았는데 친구가 발목을 좀 다쳐서",슬픔
639,진짜 놀랬지 지금은 괜찮긴 한데 아직도 좀 떨리긴 해,중립
640,넘어지는 사람도 있었고 다친 사람도 있었고 진짜 대처 요령을 좀 알아 둬야겠다,중립
641,그래 그게 좋겠다,중립
642,벌써 30분이나 기다리고 있어,중립
643,늦게 일어나서 지금 오고 있대,중립
644,일본 그래 다음에는 안 만나고 싶어,중립
645,진지하게 얘기하는데 걔는 맨날,중립
646,너무 자고 싸우게 돼,중립
647,아니 그런 건 전혀 없었어 그냥 뭔가 서로한테 너무 익숙해졌던게 문제가 아니었나 하고 생각했었어,슬픔
648,"한 두 달 정도 됐나 근데 알고 보니까 새로운 사람이 생긴 거더라고\
 기분이 너무 안 좋았어",슬픔
649,사는게 너무 많아 근데 이쪽 업종은 어차피 다 비슷해서,중립
650,"카카오톡으로 엄마한테 얘기하지 마\
 제일 많은 건 어쩔 수 없네",중립
651,눈매가 너무 자주 싸우게 돼,중립
652,그래서 너한테 얘기할 수 있어 다행이다,중립
653,너는 들어가자마자 그냥 나오 그랬어,중립
654,이게 무슨 민호야,중립
655,고마워 그거 가지고 다녀야겠다,중립
656,관리비 아시는 분한테도 말씀드리려고 가자,중립
657,어제저녁에 진짜 무서웠어,중립
658,눈 안 다쳤는데 내 친구가 발목이 삐어 버렸어,중립
659,정리 돼서 지금은 괜찮아,중립
660,괜찮은데 닥치는 아직까지도 아프대,중립
661,피러 어제 세상을 떠났어,중립
662,따로 내색은 안 하는데 다들 슬프다,중립
663,이제 찾아보고 하려고,중립
664,"고마워\
 그래도 마음이 허전하네",중립
665,지금 그냥 걸어서 집 가고 있어,중립
666,생각도 없네,중립
667,우리 아빠 어제 또 다쳤어,중립
668,술 먹고 실행이 병원에 있긴 한데 허리가 아프대,중립
669,일주일에 5일이상 먹으니까 거의 맨날 먹는 거지,중립
670,걱정해서 다들 얘기했는데 이젠 다들 화난다,중립
671,혹시 기억하니 열심히 준비했는데 다시 오래,중립
672,잠깐 산책하고 왔어,중립
673,걱정해 줘서 고마워,중립
674,나는 잘하는게 하나도 없나 봐,슬픔
675,그게 좋을까 근데 너무 밤을 새서 그런가 피곤하네,중립
676,룸메이트가 너무 지저분해 같이 못 살겠어,분노
677,청소를 안 해 너무 지저분해,분노
678,나 면접도 떨어졌어,슬픔
679,"밤새서 기획안 제출했는데\
 또 제대로 못 했다고 혼났어",슬픔
680,계속 나만 노려보고 있어,분노
681,어제 아빠가 술 드시고 오다가 또 넘어져서 다치셨어요,슬픔
682,이젠 놀랍지도 않아 한두 번이 아니거든,분노
683,나는 안 다쳤는데 내 친구는 발목을 다쳤어 뼈를 사람들도 좀 다쳤고,슬픔
684,발목을 다쳤고 다른 사람들도 좀 많이 다치는 것 같아,중립
685,누가 통 해 놨어,혐오
686,그냥 갔나 봐 아직도 그대로 있어,혐오
687,생각만 해도 토할 것 같아,혐오
688,화장실에 누가 또 했어 너무 더러워 절대 하지 마,혐오
689,지금 문 앞에 토가 가득 있는 거 같아 머리가 아파,혐오
690,친구들한테도 꼭 이야기해 줘 관리 아저씨에게도 이야기하도록 하자,중립
691,너무 무서워 놀랬어,공포
692,다행히 모두 잘 대처 했어 하지만 그래도 무서웠어,공포
693,퇴근한지 1시간 만에 다시 일을 주는 직장상사 너무 싫다,분노
694,네 일은 재미있는데 너무 많이 시켜 너무 힘들어,분노
695,함께 일하는 동료가 마음이 잘 맞아 정말 다행이지,기쁨
696,먼저 얘기해 달라고 말해 줘서 고마워 힘이 된다,기쁨
697,아빠가 술 마시고 또 다쳤어 여러 번 째야 너무 힘들다,슬픔
698,병원에 입원했어 벌써 몇 번째인지 모르겠다 정말 술이 너무 싫어,슬픔
699,이렇게 계속 다치자 진짜 죽으면 어떡하지 걱정 돼,슬픔
700,거의 매일 드셔서 건강도 걱정되고 다치고 크로니 너무 속상하고 힘들어,슬픔
701,우리 소리 그만 드시라고 말해도 아빠가 전혀 듣지 않아,슬픔
702,일본 1시간씩 약속을 듣는 친구가 정말 미워,분노
703,엄마도 잘 안 받아,슬픔
704,약속에 늦어,분노
705,배고파서 밥 먹으러 왔어,분노
706,말씀 못 드렸어,슬픔
707,이렇게 슬픈데 배는 고프다,슬픔
708,좋은 교회 가기 위해 잠시 머리를 스톤 것도 좋은 거 같아 조언 고마워,기쁨
709,오늘까진 기획안 열심히 쓰고 내일 쉬려고,중립
710,해피를 보고 싶어해 너무 그리워 해,슬픔
711,장례는 잘 했어 걱정해 고마워,슬픔
712,너무 청소를 안 해 힘들어,분노
713,청소를 안 하는 줄 몰랐지 정말 같이 룸메이트가 된 거 후회해,분노
714,정말 따로 사는게 방법이 있을 수 있겠다 얘기해 봐 됐어,분노
715,남자친구가 권태기가 와서 헤어지자고 해서 그렇게 됐어,슬픔
716,친구였다가 사귀게 됐지,슬픔
717,아니 자기면서 한 번도 싸운 적이 없었던 진짜,슬픔
718,2개월 정도 됐어 처음 너한테 이야기하는 거야,중립
719,룸메가 청소를 진짜 안해 진짜 더럽게거든,혐오
720,참다가 한번 내 봤는데 그때 뿐이야,분노
721,한 달만 더 참아 보고 결정하려고,분노
722,나 면접 또 떨어졌대,슬픔
723,또 준비해야 하는데,분노
724,아니 모르셔도 저희 이야기를 못 하겠어,슬픔
725,입맛이 없어서 밥도 못 먹겠어,슬픔
726,나는 잘하는게 없나 봐,슬픔
727,천사한테 또 혼났어 진짜 너무 힘들다,분노
728,그러고 싶은데 다시 작성해야 돼서 시간이 없어,분노
729,안 그래도 감기 때문에 일찍 퇴근하려고,슬픔
730,그래 고마워 위로 위로 받으니까 훨씬 좋다,기쁨
731,어제 밤에 갑자기 아프더니 좀 나아지는 줄 알았는데 이렇게 돼 버렸어,슬픔
732,엄마가 너무 속상해 해,슬픔
733,가족끼리 간단하게 하려고,중립
734,엄청 이야기 많이 해 봤어,분노
735,술 먹고 또 넘어지셔서 때 지금은 치료 중이야,슬픔
736,생명에 지장은 없으셔 치료는 받아야 되고,슬픔
737,거의 맨날 드셔 속상해 죽겠어,분노
738,많이 해봤어 근데 소용이 없네,분노
739,안 그래도 요새 여기저기 알아보고 다녀,중립
740,털어놓을 사람은 없어 이렇게 너한테 전화하는 것밖에는,슬픔
741,어제저녁에 진짜 무서워,공포
742,지금은 괜찮은데 그땐 너무 무서웠어,공포
743,누가 화장실에 토하고 안 찍었어,혐오
744,따뜻한 물이라도 마셔야겠다 진짜,혐오
745,올라 내 자신이 너무 슬퍼,슬픔
746,다 끝내놓고 퇴근 하래,중립
747,힘이 돼 줘서 고마워,기쁨
748,벌써 1시간 지났어,분노
749,매번 약속마다 늦어,분노
750,방에 쓰레기를 너무 아무데나 버려,혐오
751,한 달 전에 한 번 얘기했는데 고쳐지는가 싶더니 다시 똑같이 행동 하더라고,분노
752,원래 알던 사이 어찌 청소 습관이 안 맞아서 지금 어떻게 해야 될지 고민 중이야,분노
753,한 번 더 말해 보고 고쳐지지 않으면 따로 사는게 방법일 것 같아,분노
754,화장실에 누가 안 치웠어,혐오
755,응 그대로 있어,혐오
756,대학교 동아리에서 만났었어,슬픔
757,아니 한 번도 싸운 적이 없었어,중립
758,아직 모르셔서 또 떨어져서 말씀드리는게 걱정이야,슬픔
759,아직 안 먹었어 근데 별로 생각이 없네,슬픔
760,나는 잘하는게 없나 봐,슬픔
761,나가서 쉬면 좀 나아지겠지,슬픔
762,혼나 써서 일찍 퇴근하는 거는 눈치가 좀 보여,슬픔
763,"내 잘못이 아니었으면 좋겠어\
 아마 아니겠지 더 열심히 노력할 거야",슬픔
764,해피가 어제 세상을 떠났어,슬픔
765,"의식이 없길래 병원에 데려 갔는데\
 결국 세상을 떠났어",슬픔
766,가짜고 해가지고 근데 알고 보니 새로운 사람이 생겼나 봐,슬픔
767,원래 알던 사이였는데 사귀게 됐지,중립
768,되는데 아직도 마음이 아프네,슬픔
769,어 그것도 생각해 봐야 될 거 같아,중립
770,나 면접도 떨어졌어,슬픔
771,아직 말 못 했어,슬픔
772,안 먹었어 입맛도 없어,슬픔
